tau,tpr,fpr
0.1955278581191603,0.525,0.0962772785622593
0.19606842345092612,0.55,0.0962772785622593
0.1985697873697557,0.55,0.09691912708600771
0.1999096559517943,0.55,0.0975609756097561
0.19991151042484634,0.55,0.0982028241335045
0.2007888461626882,0.55,0.09884467265725289
0.2021990411266505,0.55,0.09948652118100128
0.20350236892228243,0.55,0.10012836970474968
0.2041577663594229,0.55,0.10077021822849808
0.20635950818407708,0.55,0.10141206675224647
0.20758452690450824,0.55,0.10269576379974327
0.2082553123080927,0.55,0.10333761232349166
0.21058183021040933,0.55,0.10397946084724005
0.2109220802141614,0.55,0.10462130937098844
0.21130787056187308,0.55,0.10526315789473684
0.2118513595300878,0.55,0.10590500641848524
0.2165857134272077,0.55,0.10654685494223363
0.21854635407652215,0.575,0.10654685494223363
0.21944147223743662,0.575,0.10718870346598203
0.21963911639360095,0.575,0.10783055198973042
0.22128995706485596,0.575,0.10847240051347883
0.2275901319097243,0.575,0.10911424903722722
0.2276359946382151,0.575,0.10975609756097561
0.23056996985809564,0.575,0.110397946084724
0.23098591901403945,0.6,0.110397946084724
0.23123936907281387,0.6,0.1110397946084724
0.2336019061395455,0.6,0.1116816431322208
0.23432063757730429,0.6,0.1123234916559692
0.23540268970867786,0.6,0.11296534017971759
0.2370714141083182,0.6,0.11553273427471117
0.23912539285122233,0.6,0.11617458279845956
0.24086009582263257,0.6,0.11681643132220795
0.24227401319207978,0.6,0.11745827984595636
0.24419796555957,0.6,0.11810012836970475
0.24525360499263696,0.6,0.11874197689345314
0.2452628777386429,0.6,0.12002567394094994
0.24658043458175197,0.625,0.12002567394094994
0.24694147720935225,0.625,0.12066752246469833
0.24831635247144454,0.625,0.12130937098844673
0.24837865450698415,0.625,0.12195121951219512
0.2513090963646027,0.625,0.12259306803594351
0.25274897396040596,0.65,0.12259306803594351
0.2550735057573014,0.65,0.12387676508344031
0.2565992093542589,0.65,0.1245186136071887
0.2592950622040239,0.65,0.1251604621309371
0.25976288406037884,0.65,0.1258023106546855
0.2610519245924683,0.65,0.12644415917843388
0.26235915201437754,0.65,0.12708600770218229
0.26237364366052307,0.65,0.1277278562259307
0.2639025271599616,0.65,0.12836970474967907
0.2655848693131745,0.65,0.12901155327342748
0.2656163407722907,0.65,0.12965340179717585
0.2709848933916517,0.65,0.13029525032092426
0.2727866841903936,0.65,0.13093709884467267
0.2733891173536362,0.65,0.13157894736842105
0.27366927066166374,0.65,0.13222079589216945
0.27550527823815685,0.65,0.13286264441591783
0.27654375838326045,0.65,0.13350449293966624
0.2765862581811232,0.65,0.13543003851091143
0.27660757576131223,0.65,0.13607188703465983
0.2785893617843611,0.65,0.1367137355584082
0.27940117659674585,0.65,0.13735558408215662
0.2803408861661151,0.65,0.137997432605905
0.2824024822151962,0.65,0.1386392811296534
0.2833357924107267,0.65,0.1392811296534018
0.2836087340494689,0.65,0.1399229781771502
0.28607548371344127,0.65,0.1405648267008986
0.28635276371823865,0.65,0.14120667522464697
0.28697113028184573,0.65,0.14184852374839538
0.28849839174223185,0.65,0.14249037227214378
0.2888929871636459,0.65,0.14313222079589216
0.2900402449742479,0.65,0.14377406931964057
0.2913019018959962,0.65,0.14441591784338895
0.2913046712463472,0.675,0.14441591784338895
0.29294579589515396,0.675,0.14505776636713735
0.29319445697122926,0.675,0.14569961489088576
0.2938533919827762,0.675,0.14634146341463414
0.2942419931436816,0.675,0.14698331193838254
0.29556821600458133,0.675,0.14762516046213095
0.2961192692553541,0.675,0.14890885750962773
0.29662087808809773,0.675,0.1495507060333761
0.29771727419670624,0.675,0.15019255455712452
0.29798248068234834,0.7,0.15083440308087293
0.29774766056389995,0.675,0.15083440308087293
0.29837870778682674,0.7,0.1514762516046213
0.2997568593500181,0.725,0.1514762516046213
0.3003399817257196,0.725,0.1521181001283697
0.301785191023025,0.725,0.1527599486521181
0.3023860466261202,0.725,0.1534017971758665
0.3030719549638487,0.725,0.1540436456996149
0.30382346078280653,0.725,0.15468549422336328
0.30636852087724864,0.725,0.15532734274711169
0.30648253053385405,0.725,0.15596919127086006
0.30672328033868346,0.725,0.15661103979460847
0.3089479208834087,0.75,0.15661103979460847
0.30930944364613755,0.75,0.15725288831835688
0.3104621941204437,0.75,0.15789473684210525
0.3111210682491202,0.75,0.15853658536585366
0.31225310997426287,0.75,0.15917843388960207
0.3128338709761876,0.75,0.15982028241335045
0.31356706479676466,0.75,0.16046213093709885
0.31385702216167266,0.75,0.16110397946084723
0.3159949118460293,0.775,0.16110397946084723
0.3168191311701538,0.8,0.16110397946084723
0.31860387702958876,0.825,0.16110397946084723
0.3195396645481349,0.825,0.16174582798459564
0.3209611824461261,0.825,0.16238767650834404
0.3219721365836599,0.825,0.16302952503209242
0.32607327399668234,0.825,0.16367137355584083
0.32783848690886996,0.825,0.1643132220795892
0.3290431350345246,0.825,0.1649550706033376
0.3303964647620514,0.825,0.16559691912708602
0.3313056154314335,0.825,0.1662387676508344
0.33294427720007586,0.825,0.1668806161745828
0.3334980672167527,0.825,0.16752246469833118
0.3341822807639887,0.825,0.1681643132220796
0.3345904200209821,0.825,0.168806161745828
0.33464879019935034,0.825,0.16944801026957637
0.334718840671808,0.825,0.17008985879332478
0.3349508240451236,0.825,0.17073170731707318
0.33541693745191575,0.825,0.17137355584082156
0.3361748915356227,0.825,0.17201540436456997
0.3364338919587306,0.825,0.17265725288831835
0.33747251132775435,0.825,0.17329910141206675
0.3380326810764282,0.825,0.17394094993581516
0.33843885844573246,0.825,0.17458279845956354
0.3385916401952988,0.825,0.17522464698331194
0.3386895829767147,0.825,0.17586649550706032
0.3396738806385928,0.825,0.17650834403080873
0.33974716825312673,0.825,0.17715019255455713
0.33996508807211223,0.825,0.1777920410783055
0.3400181632534761,0.825,0.17843388960205392
0.34099186321222924,0.825,0.1790757381258023
0.34238237136944477,0.825,0.1797175866495507
0.3430509511912644,0.825,0.1803594351732991
0.3442878753517713,0.825,0.1810012836970475
0.3443626554631442,0.825,0.1816431322207959
0.3471879676891954,0.825,0.1822849807445443
0.3475425506018726,0.85,0.1822849807445443
0.3477338999191558,0.85,0.18292682926829268
0.3479708561433427,0.85,0.18356867779204109
0.3489415965090761,0.85,0.18421052631578946
0.3503938236719931,0.85,0.18485237483953787
0.3508922064474492,0.85,0.18549422336328628
0.35115072553361715,0.85,0.18613607188703465
0.3518473420779353,0.85,0.18677792041078306
0.35248451460118985,0.85,0.18741976893453144
0.35284340202568254,0.85,0.18806161745827984
0.354779723449644,0.85,0.18870346598202825
0.35574095558024427,0.85,0.18934531450577663
0.35691330041776415,0.875,0.18998716302952504
0.3561211357925193,0.85,0.18998716302952504
0.3584585933443496,0.875,0.19062901155327341
0.35929634215760287,0.875,0.19127086007702182
0.3601826954220957,0.875,0.19191270860077023
0.36057659094274164,0.875,0.1925545571245186
0.36096515563647613,0.875,0.193196405648267
0.36466841947081496,0.875,0.19383825417201542
0.3673341682893613,0.875,0.1944801026957638
0.3674313213160003,0.875,0.1951219512195122
0.3682356936977988,0.875,0.196405648267009
0.368369592029748,0.875,0.1970474967907574
0.3693928602610203,0.875,0.19768934531450577
0.3693950328715246,0.875,0.19833119383825418
0.3700141798713543,0.875,0.19897304236200256
0.3702175322743228,0.875,0.19961489088575096
0.371035586552176,0.875,0.20025673940949937
0.3711414037527102,0.875,0.20089858793324775
0.37213695492218796,0.875,0.20154043645699615
0.37215424206670233,0.875,0.20218228498074453
0.37469168607472597,0.875,0.20282413350449294
0.3747553924646976,0.875,0.20346598202824134
0.3749290756121524,0.875,0.20410783055198972
0.37539497782405906,0.875,0.20474967907573813
