,amazon/nova-lite-v1,amazon/nova-pro-v1,anthropic/claude-opus-5,anthropic/claude-sonnet-5,bytedance-seed/seed-2-1-turbo,bytedance-seed/seed-2.0-mini,cohere/command-a,deepseek/deepseek-chat-v3-0324,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-pro-0813,google/gemini-2.5-pro,google/gemini-3.1-flash-lite,google/gemini-3.5-flash,google/gemini-3.7-flash,meta-llama/llama-3.3-70b-instruct,meta-llama/llama-4-maverick,microsoft/phi-4,minimax/minimax-m3,mistralai/mistral-medium-3-5,mistralai/mistral-small-2603,moonshotai/kimi-k2.5,moonshotai/kimi-k3,nvidia/nemotron-3-super-120b-a12b,nvidia/nemotron-3-ultra-550b-a55b,openai/gpt-4o,openai/gpt-5.6-luna,openai/gpt-5.6-sol,openai/gpt-5.6-terra,qwen/qwen3-235b-a22b-2507,qwen/qwen3.8-27b,qwen/qwen3.8-max,tencent/hy3,thinkingmachines/inkling,thinkingmachines/inkling-small,x-ai/grok-4.20,x-ai/grok-4.6,xiaomi/mimo-v2.5,xiaomi/mimo-v2.5-pro,z-ai/glm-4.7-flash,z-ai/glm-5.2
google/gemini-2.5-pro,0.5163336869169143,0.5623624845509535,1.0,0.6650584171660355,0.35315358533314906,0.5805432243032205,0.539920035801685,0.451387633557529,0.4103812961391731,0.5481739573806791,0.0,0.5624877339518765,0.6424682804007578,0.7772441381662257,0.5606962909524614,0.5658255385429823,0.5790662224221281,0.4805007593920157,0.5023479306333191,0.5551439000688331,0.4744230970816296,0.407980201829434,0.6166000298347375,0.38080215162706005,0.5481374378208259,1.0,1.0,1.0,0.5770584709934191,0.40614895626026937,0.9382566039495245,0.5825722585086236,0.5358164953020013,0.381457592499648,0.6059172184171882,1.0,0.47934406972768784,0.5911048668697795,0.5779238510547665,0.30927877334460646
google/gemini-3.1-flash-lite,0.1133467515003087,0.7826001771176381,1.0,0.9684500593730873,0.6210381872511558,0.040268048726923265,0.006845252211476099,0.7599461561146184,0.70960943897175,0.3376820966502712,0.5624877339518765,0.0,0.9710078815354973,1.0,0.9690216506204336,0.2307726312031019,0.1371392023862801,0.4150830188210002,0.8710195407986948,0.07569607998281384,0.18901292321915444,0.35349945358130636,0.048523970341695956,0.1546655054105209,0.8445311636270967,1.0,1.0,1.0,0.06899441699390886,0.5286004779514527,1.0,0.07309954943503334,0.15025922067406006,0.4840782198660727,0.0807377651734938,1.0,0.535211068579812,0.9116764654926932,0.050334573515757965,0.42686325046886325
google/gemini-3.5-flash,0.8314685840376935,0.23243124728321982,0.9100559822354629,0.14750307602424417,0.28537930190704003,0.9552668414954226,1.0,0.5371889026086236,0.3786301370567433,0.7912177302072697,0.6424682804007578,0.9710078815354973,0.0,0.2793132693826545,0.297841044678362,1.0,1.0,0.7097855603931462,0.5710808525000335,0.9162241322649883,0.8679455775355142,0.4808576029023852,1.0,0.6488397481646684,0.3777183379321778,0.9769905030551317,0.9422583926523629,0.9062670935438728,0.9544287805571748,0.7029152536500126,0.6899590995488039,0.9724122099797577,0.8945227011952679,0.5239995052851888,0.9717435204045538,0.9550279911177315,0.5578304398701874,0.37381205579752397,0.9552668414954226,0.566535777678227
google/gemini-3.7-flash,0.8567546819683542,0.2537894362447049,0.8446958733715438,0.2983696386240774,0.464323693436732,1.0,1.0,0.5502043601150052,0.5270109070499708,0.8199904717007138,0.7772441381662257,1.0,0.2793132693826545,0.0,0.5088818984304343,1.0,1.0,0.8201858141157671,0.7421316776935732,1.0,0.9702668190494279,0.6129129646217552,1.0,0.727861321848771,0.583511429041634,0.835488365275883,0.8080762729174665,0.8209987027022118,0.9200453559534824,0.7852607654972322,0.5503342098168584,1.0,0.9224789150091631,0.5900045642224208,0.9705533887482148,0.7791099282986483,0.7333133352897862,0.4432805878719467,1.0,0.6954561817381236
meta-llama/llama-3.3-70b-instruct,0.8014648830815674,0.31792505408561844,1.0,0.2948747634408192,0.3171581127081746,0.9516831606044803,1.0,0.5154542475901482,0.2929618254082162,0.813413284243076,0.5606962909524614,0.9690216506204336,0.297841044678362,0.5088818984304343,0.0,0.9888888888888889,1.0,0.6002388577299294,0.42927521024593407,0.8901138693927297,0.8001851039163932,0.44880303373973507,1.0,0.6723109905306544,0.29989839959260434,1.0,1.0,1.0,0.9722397319072086,0.6800407418927833,0.8441165051292413,0.9705533887482148,0.8343918976229882,0.5328662534323717,0.9794511331701489,1.0,0.5544756308947756,0.254353410212303,0.9397614244730055,0.4904986658113983
meta-llama/llama-4-maverick,0.1983370362241535,0.7746072477686754,1.0,1.0,0.6594061102965564,0.25273017564015293,0.11314588063462849,0.7682010914455842,0.7606507781813815,0.43521307766843104,0.5658255385429823,0.2307726312031019,1.0,1.0,0.9888888888888889,0.0,0.16226480008284155,0.5334267947143958,0.8575420169835533,0.2626953150584967,0.3079186231466892,0.47719217350236603,0.25273017564015293,0.3115539455704916,0.8700082511114787,1.0,1.0,1.0,0.2576334252864465,0.53074646806317,1.0,0.22601671612394783,0.3220264631756256,0.5137574795386114,0.22330477981049293,1.0,0.5751273977840193,0.8974548618635894,0.2689620730395173,0.4959757742224153
microsoft/phi-4,0.24182258486034502,0.8051178181843316,1.0,1.0,0.6181287297361573,0.15460765522979117,0.14138714957245196,0.7417110263210503,0.7392360970992696,0.3648930537721951,0.5790662224221281,0.1371392023862801,1.0,1.0,1.0,0.16226480008284155,0.0,0.4807803494425197,0.8696167469038227,0.16427113323362952,0.2671652171836438,0.43451370014592455,0.15460765522979117,0.25316985427874855,0.8786977411198565,1.0,1.0,1.0,0.16725844586885893,0.4276401919814221,1.0,0.18499444004945328,0.19416427322312915,0.43547955210265804,0.16505031825054872,1.0,0.5410109903629546,0.8948623879554178,0.16987525879272475,0.4552661240384973
minimax/minimax-m3,0.4282354951984944,0.5813352268933928,0.8940382015170766,0.7318559638057961,0.4780766661572458,0.42333541483320897,0.43013000483775665,0.6329818118765825,0.5378407884745742,0.5305270234023165,0.4805007593920157,0.4150830188210002,0.7097855603931462,0.8201858141157671,0.6002388577299294,0.5334267947143958,0.4807803494425197,0.0,0.4650003814997877,0.4098782911793076,0.4112971563845145,0.31373300916117364,0.4505609050301966,0.292081664169606,0.5752846446216293,0.9458037017250759,0.9646794005056921,0.9409646304951038,0.4337611015015042,0.3837060283649259,0.9332947196550654,0.45533981910351046,0.43181130780865606,0.4449569376305837,0.45215513148198044,1.0,0.40595576800133076,0.5764957601753871,0.3877236840063049,0.36585740686321505
mistralai/mistral-medium-3-5,0.78756865844303,0.5945507028477787,0.9053501781192621,0.6136118793287841,0.5004213472302942,0.8542499093269934,0.8815532084382933,0.4922114966806457,0.4830834679809051,0.7077545090856381,0.5023479306333191,0.8710195407986948,0.5710808525000335,0.7421316776935732,0.42927521024593407,0.8575420169835533,0.8696167469038227,0.4650003814997877,0.0,0.8119053767695442,0.6501631318258685,0.5174302092356952,0.9012943403652445,0.6475266144284805,0.4906212100950329,1.0,1.0,0.9840793302775994,0.8740738511916564,0.4706922242307266,0.9025489725336572,0.8725060208667704,0.8037983391931549,0.5494579948050339,0.8754631464843331,1.0,0.4591933684823103,0.5333437850632711,0.8395298265571931,0.4994073751293298
mistralai/mistral-small-2603,0.11858718492783678,0.7853051779759765,1.0,0.9049271884157765,0.5420394251548233,0.04106455796269789,0.02749959336794768,0.774562375476999,0.646277612992797,0.3071684311077327,0.5551439000688331,0.07569607998281384,0.9162241322649883,1.0,0.8901138693927297,0.2626953150584967,0.16427113323362952,0.4098782911793076,0.8119053767695442,0.0,0.15653626068203402,0.3062741375525492,0.06944351608326689,0.16710864653461074,0.7886633634062283,1.0,1.0,1.0,0.1387110852908063,0.4773189680036019,1.0,0.10759564551116037,0.14373387956889186,0.438393953644131,0.09843438150793453,1.0,0.48399377514302755,0.9126235997133371,0.061369989651340724,0.4144852165034252
moonshotai/kimi-k2.5,0.21704904550011758,0.7659158377014775,1.0,0.8572263339834313,0.5374939482831693,0.15646313839306042,0.1546671577450316,0.6205286685998396,0.5774755775279851,0.3525434734399884,0.4744230970816296,0.18901292321915444,0.8679455775355142,0.9702668190494279,0.8001851039163932,0.3079186231466892,0.2671652171836438,0.4112971563845145,0.6501631318258685,0.15653626068203402,0.0,0.33083298464226046,0.19022920802490242,0.22514598106964823,0.722343244402623,1.0,1.0,1.0,0.22189389138037494,0.43500526555522606,0.9854378668560234,0.22457932170103614,0.22410717720899845,0.47032118344852103,0.21450811544199277,1.0,0.46015285219744484,0.8397476345634555,0.1744160294695448,0.3445528919439467
moonshotai/kimi-k3,0.27202216120054584,0.2937936370477,1.0,0.4603559339327754,0.2140838829805732,0.3197606783049475,0.36215411800378333,0.4922536135699452,0.34898212286438773,0.396724734045055,0.407980201829434,0.35349945358130636,0.4808576029023852,0.6129129646217552,0.44880303373973507,0.47719217350236603,0.43451370014592455,0.31373300916117364,0.5174302092356952,0.3062741375525492,0.33083298464226046,0.0,0.35355647875590795,0.17954057095435375,0.5028218497354466,0.966684278378383,0.9785558462092604,0.9733560269267136,0.37935100346513145,0.41792502095510814,0.8527145643841875,0.37035675604083623,0.29986307872569773,0.2754171876752571,0.3621596977461415,0.9512979220371324,0.3739684399556222,0.4696104285020805,0.33244623834552617,0.23185580526951563
nvidia/nemotron-3-super-120b-a12b,0.1072396158487603,0.7826001771176381,1.0,1.0,0.6514394864681682,0.011684096957494783,0.014166260034614343,0.7735155401841993,0.7309440437917983,0.3414766424223567,0.6166000298347375,0.048523970341695956,1.0,1.0,1.0,0.25273017564015293,0.15460765522979117,0.4505609050301966,0.9012943403652445,0.06944351608326689,0.19022920802490242,0.35355647875590795,0.0,0.17807476177539874,0.8842420455821954,1.0,1.0,1.0,0.09337425875379557,0.5786114253731196,1.0,0.10135239378362478,0.11725266307737597,0.5013776469792358,0.043199961706125445,1.0,0.5850538399493134,0.9116764654926932,0.035383126783065065,0.47199889109713916
nvidia/nemotron-3-ultra-550b-a55b,0.14167135163378924,0.4659456200032183,1.0,0.6527061053799331,0.31718499288952995,0.15485779207905967,0.14173166647469163,0.5787474397198976,0.4530275447321213,0.34240999193407085,0.38080215162706005,0.1546655054105209,0.6488397481646684,0.727861321848771,0.6723109905306544,0.3115539455704916,0.25316985427874855,0.292081664169606,0.6475266144284805,0.16710864653461074,0.22514598106964823,0.17954057095435375,0.17807476177539874,0.0,0.5929438005439928,1.0,1.0,1.0,0.20878127667248422,0.39756342127254546,0.8916886793313391,0.18060376517980492,0.17264450391509537,0.27746485938595433,0.16037614786295729,1.0,0.3497837330139976,0.621882859534695,0.15671785994493348,0.2535559286485418
openai/gpt-4o,0.7270414880619261,0.3880650222122655,0.8049932735054937,0.42062180998183213,0.39132037923285584,0.8409072174723052,0.8610904546986345,0.4404211195251279,0.3254297868358575,0.7040243941906302,0.5481374378208259,0.8445311636270967,0.3777183379321778,0.583511429041634,0.29989839959260434,0.8700082511114787,0.8786977411198565,0.5752846446216293,0.4906212100950329,0.7886633634062283,0.722343244402623,0.5028218497354466,0.8842420455821954,0.5929438005439928,0.0,1.0,0.9477470639442398,0.9181430043876816,0.8622348404282888,0.6297186583659458,0.8508376964868759,0.8466523301195554,0.7988764202769545,0.45380902347928825,0.8531505597130223,1.0,0.6047105412457583,0.3086851484787342,0.8292340218429134,0.4247250463911807
openai/gpt-5.6-luna,1.0,0.9164033096295613,0.5350522908724844,1.0,1.0,1.0,1.0,0.9478893784900798,1.0,0.8892619129894831,1.0,1.0,0.9769905030551317,0.835488365275883,1.0,1.0,1.0,0.9458037017250759,1.0,1.0,1.0,0.966684278378383,1.0,1.0,1.0,0.0,0.4552955214661975,0.5239733892246962,0.9587286727273193,0.9699196627130267,0.4170714093483469,1.0,1.0,1.0,1.0,0.1778746432337842,0.9500563017556075,1.0,1.0,0.9646794005056921
openai/gpt-5.6-sol,1.0,0.9314992905787924,0.5,1.0,1.0,1.0,1.0,0.9309227845200521,1.0,0.8979116809350205,1.0,1.0,0.9422583926523629,0.8080762729174665,1.0,1.0,1.0,0.9646794005056921,1.0,1.0,1.0,0.9785558462092604,1.0,1.0,0.9477470639442398,0.4552955214661975,0.0,0.25303886893744926,0.9424762576378293,0.9597127761988613,0.39731842865690803,1.0,1.0,1.0,1.0,0.44024144029117274,0.9134532847130364,1.0,1.0,0.9774644965428019
openai/gpt-5.6-terra,1.0,0.9249870591667271,0.36902282695177757,0.9635970505210881,1.0,1.0,1.0,0.9372484497457736,0.9770038722097101,0.8715503044375653,1.0,1.0,0.9062670935438728,0.8209987027022118,1.0,1.0,1.0,0.9409646304951038,0.9840793302775994,1.0,1.0,0.9733560269267136,1.0,1.0,0.9181430043876816,0.5239733892246962,0.25303886893744926,0.0,0.9301248570288073,0.944081615043267,0.4013380353200205,1.0,1.0,0.9539810061102635,1.0,0.5116887960543022,0.9231222748763251,1.0,1.0,0.9718757949350287
qwen/qwen3-235b-a22b-2507,0.13649922762018302,0.758112587309449,1.0,0.9746672559175504,0.6287019415778758,0.1002589030563144,0.03492735121583762,0.736307585912215,0.7061041947388847,0.34370287688701184,0.5770584709934191,0.06899441699390886,0.9544287805571748,0.9200453559534824,0.9722397319072086,0.2576334252864465,0.16725844586885893,0.4337611015015042,0.8740738511916564,0.1387110852908063,0.22189389138037494,0.37935100346513145,0.09337425875379557,0.20878127667248422,0.8622348404282888,0.9587286727273193,0.9424762576378293,0.9301248570288073,0.0,0.4821136617855009,0.9468276334472764,0.12041704747258386,0.18273382290669435,0.48671538465308467,0.12318973224850295,0.9137143864567439,0.5680179821873349,0.8804662955448205,0.1199827367401635,0.46192937919215643
qwen/qwen3.8-27b,0.4856680343665108,0.6325541999207063,0.8791383285965838,0.7403150585618151,0.4338263843021655,0.5394245814250631,0.45087335157555897,0.633435666438808,0.5279746652081204,0.47536873884252234,0.40614895626026937,0.5286004779514527,0.7029152536500126,0.7852607654972322,0.6800407418927833,0.53074646806317,0.4276401919814221,0.3837060283649259,0.4706922242307266,0.4773189680036019,0.43500526555522606,0.41792502095510814,0.5786114253731196,0.39756342127254546,0.6297186583659458,0.9699196627130267,0.9597127761988613,0.944081615043267,0.4821136617855009,0.0,0.9098414832237749,0.5497372833930755,0.5093895320574883,0.3988991681594414,0.5682135130200424,0.939569164298292,0.42490067928525865,0.700008504470256,0.5320246334050099,0.37854605610146813
qwen/qwen3.8-max,0.9567588172321297,0.6721855607530435,0.6056041416693608,0.7594977463799898,0.8344385681620686,1.0,1.0,0.7675290006173558,0.8096002594420056,0.7949475585544686,0.9382566039495245,1.0,0.6899590995488039,0.5503342098168584,0.8441165051292413,1.0,1.0,0.9332947196550654,0.9025489725336572,1.0,0.9854378668560234,0.8527145643841875,1.0,0.8916886793313391,0.8508376964868759,0.4170714093483469,0.39731842865690803,0.4013380353200205,0.9468276334472764,0.9098414832237749,0.0,1.0,0.9597400209314001,0.8726643896894314,0.9731418507992409,0.5074413604245618,0.7846924798577813,0.851512353842309,1.0,0.8766801481347675
tencent/hy3,0.14347121465731247,0.790094718030815,1.0,0.9700186607451543,0.6247109034588311,0.09177191057511808,0.05523856031169242,0.7764191627379159,0.7187811406548882,0.3441550746967195,0.5825722585086236,0.07309954943503334,0.9724122099797577,1.0,0.9705533887482148,0.22601671612394783,0.18499444004945328,0.45533981910351046,0.8725060208667704,0.10759564551116037,0.22457932170103614,0.37035675604083623,0.10135239378362478,0.18060376517980492,0.8466523301195554,1.0,1.0,1.0,0.12041704747258386,0.5497372833930755,1.0,0.0,0.16098642502355787,0.4811951717840812,0.08332307391134665,1.0,0.5366500190158854,0.913637371771167,0.1111471768760723,0.4537223374990909
thinkingmachines/inkling,0.159207592172526,0.7182117484059526,1.0,0.8961175551139631,0.5622914126358826,0.11248585777452859,0.1373474391854768,0.6839590651018046,0.6149326275704067,0.34190931742401376,0.5358164953020013,0.15025922067406006,0.8945227011952679,0.9224789150091631,0.8343918976229882,0.3220264631756256,0.19416427322312915,0.43181130780865606,0.8037983391931549,0.14373387956889186,0.22410717720899845,0.29986307872569773,0.11725266307737597,0.17264450391509537,0.7988764202769545,1.0,1.0,1.0,0.18273382290669435,0.5093895320574883,0.9597400209314001,0.16098642502355787,0.0,0.4363555719125019,0.14115156188239464,1.0,0.5172557050233261,0.7852116707056023,0.13273453091698972,0.4479534209485734
thinkingmachines/inkling-small,0.38990724646429065,0.3597105373207979,0.5540157730728,0.5537281107378934,0.22321685502983094,0.4744067971332728,0.4042378229332222,0.5240844002475731,0.3486213588744799,0.44811426369377666,0.381457592499648,0.4840782198660727,0.5239995052851888,0.5900045642224208,0.5328662534323717,0.5137574795386114,0.43547955210265804,0.4449569376305837,0.5494579948050339,0.438393953644131,0.47032118344852103,0.2754171876752571,0.5013776469792358,0.27746485938595433,0.45380902347928825,1.0,1.0,0.9539810061102635,0.48671538465308467,0.3988991681594414,0.8726643896894314,0.4811951717840812,0.4363555719125019,0.0,0.4921062141970138,1.0,0.4889539289352084,0.4765297979117239,0.48465701061444627,0.35552788899701904
